Name,Developer,Producer,Genre,Operating System,Date Released
Half-Life 2,Valve,"Valve, Sierra Entertainment",First-person shooter,"Microsoft Windows, Linux, macOS",16-Nov-04
Half-Life: Blue Shift,"Valve, Gearbox Software",Sierra Studios,First-person shooter,"Microsoft Windows, Linux, macOS",12-Jun-01
Half-Life Deathmatch: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",1-May-06
Half-Life: Opposing Force,"Valve, Gearbox Software",Sierra Studios,First-person shooter,"Microsoft Windows, Linux, macOS",10-Nov-99
Half-Life: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",1-Jun-04
Half-Life 2: Deathmatch,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",30-Nov-04
Half-Life 2: Episode One,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",1-Jun-06
Half-Life 2: Episode Two,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",10-Oct-07
Half-Life 2: Lost Coast,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS",27-Oct-05
Half-Life: Alyx,Valve,Valve,"First-person shooter, VR game","Microsoft Windows, Linux",23-Mar-20
Halo: Combat Evolved,"Bungie, Gearbox Software, Westlake Interactive","Microsoft Game Studios, MacSoft",First-person shooter,"Microsoft Windows, macOS",30-Sep-03
Halo 2,"Bungie, Microsoft Game Studios, Pi Studios",Microsoft Game Studios,First-person shooter,Microsoft Windows,17-May-07
Hard Truck Apocalypse,Targem Games,Buka Entertainment,Vehicular combat,Microsoft Windows,19-Jun-06
Harvester,DigiFX Interactive,"Merit Studios, Virgin Interactive, Night Dive Studios",Adventure,"DOS, Microsoft Windows, Linux",25-Sep-96
A Hat in Time,Gears for Breakfast,Humble Bundle,"Adventure, platforming","Microsoft Windows, macOS",2017
Hatoful Boyfriend: A School of Hope and White Wings,"PigeoNaton, Mediatonic","MIST[PSI]PRESS, Devolver Digital","Visual novel, dating simulation, otome game, nakige","Microsoft Windows, Linux, macOS",24-Aug-14
Hearthstone,Blizzard Entertainment,Blizzard Entertainment,Digital collectible card game,"Microsoft Windows, macOS",11-Mar-14
Hearts of Iron,Paradox Development Studios,Strategy First,Grand strategy,"Microsoft Windows, macOS",24-Nov-02
Hearts of Iron II,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS",4-Jan-05
Hearts of Iron III,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS",7-Aug-09
Hello Neighbor,Dynamic Pixels,tinyBuild,"Stealth, survival horror","Microsoft Windows, macOS",8-Dec-17
Heroes of the Lance,U.S. Gold,"Strategic Simulations, Inc.","RPG, fantasy","MS-DOS, Amiga, Amstrad CPC, Atari ST, Commodore 64, FM Towns, ZX Spectrum",1-Nov-88
Heroes of Might and Magic: A Strategic Quest,New World Computing,New World Computing,Turn-based strategy,"Microsoft Windows, DOS, Mac OS",31-Aug-95
Heroes of Might and Magic II,New World Computing,The 3DO Company,Turn-based strategy,"Microsoft Windows, DOS, Mac OS, RISC OS",1-Oct-96
Heroes of Might and Magic III,New World Computing,The 3DO Company,Turn-based strategy,"Microsoft Windows, Linux, Mac OS",28-Feb-99
Heroes of Newerth,S2 Games,S2 Games,MOBA,"Microsoft Windows, Linux, macOS",12-May-10
Heroes of the Storm,Blizzard Entertainment,Blizzard Entertainment,MOBA,"Microsoft Windows, macOS",2-Jun-15
Hitman: Absolution,"IO Interactive, Feral Interactive","Eidos Interactive, Feral Interactive","Action-adventure, stealth","Microsoft Windows, macOS",19-Nov-12
Hitman: Blood Money,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,30-May-06
Hitman: Codename 47,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,19-Nov-00
Hitman: Contracts,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,20-Apr-04
Hitman 2: Silent Assassin,IO Interactive,Eidos Interactive,"Action-adventure, stealth",Microsoft Windows,1-Oct-02
Hitman,"IO Interactive, Feral Interactive",Square Enix,"Action-adventure, stealth","Microsoft Windows, macOS",11-Mar-16
Hitman 2,"IO Interactive, Feral Interactive",Warner Bros. Interactive Entertainment,"Action-adventure, stealth","Microsoft Windows, macOS",9-Nov-18
Hitman III,"IO Interactive, Feral Interactive",Unknown,"Action-adventure, stealth","Microsoft Windows, macOS",Jan-21
Hogs of War,Infogrames Studios,Infogrames Europe,"Turn-based tactics, artillery",Microsoft Windows,3-Nov-00
Hollow Knight,Team Cherry,Team Cherry,"Action adventure, Metroidvania","Microsoft Windows, macOS, Linux, Nintendo Switch, PlayStation 4, Xbox One",24-Feb-17
Homeworld,Relic Entertainment,Sierra Entertainment,"Real-time strategy, real-time tactics, space simulation",Microsoft Windows,28-Sep-99
Homeworld: Cataclysm,Barking Dog Studios,Sierra Entertainment,Real-time strategy,Microsoft Windows,30-Jun-00
Homeworld 2,Relic Entertainment,Sierra Entertainment,Real-time strategy,"Microsoft Windows, macOS",16-Sep-03
Homeworld: Deserts of Kharak,Blackbird Interactive,Gearbox Software,Real-time strategy,"Microsoft Windows, macOS",20-Jan-16
Hotline Miami,Dennaton Games,Devolver Digital,"Action, top-down shooter","Microsoft Windows, Linux, macOS",23-Oct-12
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,"Action, top-down shooter","Microsoft Windows, Linux, macOS",10-Mar-15
Hugo's House of Horrors,Gray Design Associates,Gray Design Associates,"Adventure, survival horror","Microsoft Windows, DOS",1990
I.G.I.-2: Covert Strike,Innerloop Studios,Codemasters,Stealth,Microsoft Windows,3-Mar-03
Icewind Dale,Black Isle Studios,Interplay Entertainment,RPG,"Microsoft Windows, macOS",29-Jun-00
Icewind Dale II,Black Isle Studios,Interplay Entertainment,RPG,Microsoft Windows,27-Aug-02
Identity,"Asylum Entertainment, Inc.","Asylum Entertainment, Inc.",MMORPG,"Microsoft Windows, macOS",30-Nov-18
Insurgency,New World Interactive,New World Interactive,First-person shooter,"Microsoft Windows, macOS, Linux",22-Jan-14
Insurgency: Sandstorm,New World Interactive,Focus Home Interactive,First-person shooter,Microsoft Windows,12-Dec-18
Jill of the Jungle,Epic MegaGames,Epic MegaGames,Platform,DOS,Jun-92
Jade Empire,"BioWare, LTI Gray Matter","2K Games, Valve",Action role-playing,"Microsoft Windows, macOS",26-Feb-07
James Bond 007: Nightfire,"Eurocom, Gearbox Software, TransGaming Inc.","Electronic Arts, Aspyr",First-person shooter,"Microsoft Windows, macOS",28-Nov-02
Jazz Jackrabbit,"Epic MegaGames, Arjan Brussee",Epic MegaGames,"Side-scrolling shooter, platform","Microsoft Windows, MS-DOS",30-Jul-94
Jazz Jackrabbit 2,"Orange Games, Epic MegaGames",Gathering of Developers,"Side-scrolling shooter, platform","Microsoft Windows, macOS",13-Apr-98
Judge Dredd: Dredd vs. Death,Rebellion Developments,"Sierra Entertainment, BAM! Entertainment",First-person shooter,Microsoft Windows,17-Oct-03
Judgment,Ryu Ga Gotoku Studio,SEGA,Action-adventure,Microsoft Windows,14-Sep-22
Juiced 2: Hot Import Nights,Paradigm Entertainment,THQ,Racing,Microsoft Windows,16-Nov-07
Jurassic Park,Ocean Software,Ocean Software,Action,"Amiga, DOS",Oct-93
Jurassic Park III: Danger Zone!,Knowledge Adventure,Knowledge Adventure,"Action, adventure",Microsoft Windows,29-Jun-01
Jurassic Park III: Dino Defender,Knowledge Adventure,Knowledge Adventure,"Side-scrolling, action","Microsoft Windows, macOS",29-Jun-01
Jurassic Park: The Game,Telltale Games,Telltale Games,Graphic adventure,"Microsoft Windows, macOS",15-Nov-11
Just Cause,Avalanche Studios,Eidos Interactive,"Open world, action",Microsoft Windows,22-Sep-06
Just Cause 2,Avalanche Studios,Eidos Interactive,"Open world, action",Microsoft Windows,23-Mar-10
Just Cause 3,Avalanche Studios,Square Enix,"Open world, action",Microsoft Windows,1-Dec-15
Just Cause 4,Avalanche Studios,Square Enix,"Open world, action",Microsoft Windows,4-Dec-18
Katawa Shoujo,Four Leaf Studios,Four Leaf Studios,"Visual novel, dating sim","Microsoft Windows, Linux, macOS",24-Jan-12
Kenshi,Lo-Fi Games,Lo-Fi Games,Role-playing video game,Microsoft Windows,6-Dec-18
Kentucky Route Zero,Cardboard Computer,Cardboard Computer,Adventure,"Microsoft Windows, Linux, macOS",7-Jan-13
Kerbal Space Program,Squad,Squad,Sandbox,"Microsoft Windows, Linux, macOS",24-Jun-11
Killing Floor,Tripwire Interactive,Tripwire Interactive,First-person shooter,"Microsoft Windows, Linux, macOS",14-May-09
Killing Floor 2,Tripwire Interactive,Tripwire Interactive,First-person shooter,"Microsoft Windows, Linux, macOS",18-Nov-16
Kingdom: New Lands,Noio,Raw Fury,"Strategy, Adventure","Microsoft Windows, Linux, macOS",9-Aug-16
Kingdoms of Amalur: Reckoning,"38 Studios, Big Huge Games","38 Studios, Electronic Arts","Action role-playing, hack and slash",Microsoft Windows,7-Feb-12
King Arthur: The Role-Playing Wargame,NeocoreGames,Paradox Interactive,"Turn-based strategy, real-time tactics",Microsoft Windows,25-Nov-09
King Arthur II: The Role-Playing Wargame,NeocoreGames,Paradox Interactive,"Turn-based strategy, real-time tactics",Microsoft Windows,27-Jan-12
kkrieger,.theprodukkt,.theprodukkt,First-person shooter,Microsoft Windows,30-Apr-04
Knights and Merchants: The Shattered Kingdom,Joymania Entertainment,"TopWare Interactive, Interactive Magic",RTS,"Microsoft Windows, Linux",18-Sep-98
L.A. Noire,Team Bondi,Rockstar Games,Action-adventure,Microsoft Windows,17-May-11
Lands of Lore: Guardians of Destiny,Westwood Studios,Virgin Interactive,RPG,"MS-DOS, Microsoft Windows",30-Sep-97
Lands of Lore: The Throne of Chaos,Westwood Studios,Virgin Interactive,RPG,"MS-DOS, PC-98",1993
Lands of Lore III,Westwood Studios,Electronic Arts,RPG,Microsoft Windows,3-Mar-99
Lara Croft and the Guardian of Light,Crystal Dynamics,Square Enix,Action-adventure,Microsoft Windows,18-Aug-10
Lara Croft and the Temple of Osiris,Crystal Dynamics,Square Enix,Action-adventure,Microsoft Windows,8-Dec-14
Layers of Fear,Bloober Team,Aspyr,Survival horror,"Microsoft Windows, Linux, macOS",16-Feb-16
League of Legends,Riot Games,Riot Games,MOBA,"Microsoft Windows, macOS",27-Oct-09
Legends of Callasia,Boomzap Entertainment,Boomzap Entertainment,Turn-based strategy,"Microsoft Windows, macOS",10-Jun-16
Lego Batman: The Videogame,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS",23-Sep-08
Lego Batman 2: DC Super Heroes,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS",23-Jun-12
Lego Batman 3: Beyond Gotham,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive",Action-adventure,"Microsoft Windows, macOS",11-Nov-14
Lego Rock Raiders,Data Design Interactive,Lego Media,"Real-time strategy, action",Microsoft Windows,15-Nov-99
Lego Star Wars: The Video Game,Traveller's Tales,Eidos Interactive,Action-adventure,"Microsoft Windows, OS X",29-Mar-05
Leisure Suit Larry series,"Sierra Entertainment, High Voltage Software, Team17, Replay Games","Sierra Entertainment, Codemasters, Replay Games",Graphic adventure,"MS-DOS, Microsoft Windows, Linux, macOS",5-Jun-87
Lightning Returns: Final Fantasy XIII,Square Enix,Square Enix,Role-playing,Microsoft Windows,10-Dec-15
Lineage,NCSOFT,NCSOFT,MMORPG,"Microsoft Windows, Mac OS X",3-Sep-98
Lobotomy Corporation,Project Moon,Project Moon,"Management simulation, indie",Microsoft Windows,9-Apr-18
London Taxi: Rush Hour,Data Design Interactive,Metro3D Europe,Driving,Microsoft Windows,23-Jun-06
Lost Judgment,Ryu Ga Gotoku Studio,SEGA,Action-adventure,Microsoft Windows,14-Sep-22
Lovely Planet,QUICKTEQUILA,tinyBuild,"First-person shooter, indie","Microsoft Windows, Linux, macOS",31-Jul-14
Luftrausers,Vlambeer,Devolver Digital,Shoot 'em Up,"Microsoft Windows, macOS, Linux",18-Mar-14
M.U.D. TV,Realmforge Studios,Kalypso Media,Business simulation,Microsoft Windows,23-Feb-10
M.U.G.E.N,ElecByte,ElecByte,Fighting,"MS-DOS, Microsoft Windows, Linux, macOS",17-Jul-99
M1 Tank Platoon,MPS Labs,MicroProse,"Simulation, real-time tactics","Amiga, Atari ST, MS-DOS",1989
M1 Tank Platoon II,MicroProse,MicroProse,"Simulation, real-time tactics",Microsoft Windows,28-Feb-98
Magicka,Arrowhead Game Studios,Paradox Interactive,"Fantasy, action-adventure",Microsoft Windows,25-Jan-11
Mass Effect,BioWare Corporation,Electronic Arts,"RPG, Action, science fiction",Microsoft Windows,20-Nov-07
Mass Effect 2,BioWare Corporation,Electronic Arts,"RPG, action, science fiction",Microsoft Windows,26-Jan-10
Mass Effect 3,BioWare Corporation,Electronic Arts,"RPG, action, science fiction",Microsoft Windows,6-Mar-12
Max Payne,Remedy Entertainment,"Gathering of Developers, Rockstar Games, MacSoft, Feral Interactive",Third-person shooter,"Microsoft Windows, macOS",23-Jul-01
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,Rockstar Games,Third-person shooter,Microsoft Windows,14-Oct-03
MDK,Shiny Entertainment,"PIE, Interplay Entertainment",Third-person shooter,"Microsoft Windows, MS-DOS, macOS",21-Nov-97
MDK2,BioWare,Interplay Entertainment,"Third-person shooter, action-adventure",Microsoft Windows,31-Mar-00
Mechwarrior Online,Piranha Games,Piranha Games,"Vehicular combat, action",Microsoft Windows,17-Sep-13
Medal of Honor,"DICE, Danger Close Games",Electronic Arts,First-person shooter,Microsoft Windows,8-Oct-10
Medal of Honor: Warfighter,Danger Close Games,Electronic Arts,First-person shooter,Microsoft Windows,23-Oct-12
Medieval: Total War,The Creative Assembly,Activision,Turn-based strategy,Microsoft Windows,20-Aug-02
Medieval II: Total War,The Creative Assembly,Sega,Turn-based strategy,Microsoft Windows,11-Nov-06
MegaRace,Cryo Interactive,The Software Toolworks,Racing video game,MS-DOS,1993
MegaRace 2,Cryo Interactive,Mindscape,Racing video game,"MS-DOS, macOS",1996
MegaRace 3,Cryo Interactive,"Cryo Interactive, DreamCatcher Interactive",Racing video game,Microsoft Windows,9-Jan-02
Metal Gear,Konami,Konami,"Action-adventure, stealth","MSX2, MS-DOS",7-Jul-87
Metal Gear 2: Solid Snake,Konami,Konami,"Action-adventure, stealth",MSX2,20-Jul-90
Metal Gear Rising: Revengeance,PlatinumGames,Konami,"Action, hack and slash",Microsoft Windows,9-Jan-14
Metal Gear Solid,"KCEJ, Digital Dialect","Konami, Microsoft Game Studios","Action-adventure, stealth",Microsoft Windows,3-Sep-98
Metal Gear Solid 2: Substance,"KCEJ, Success",Konami,"Action-adventure, stealth",Microsoft Windows,27-Mar-03
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,"Action-adventure, stealth",Microsoft Windows,1-Sep-15
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,"Action-adventure, stealth",Microsoft Windows,1-Sep-15
Metro 2033,4A Games,"Deep Silver, THQ","Post-apocalyptic, FPS","Microsoft Windows, Linux",16-Mar-10
Metro: Last Light,4A Games,"Spike Chunsoft, Deep Silver","Post-apocalyptic, FPS","Microsoft Windows, Linux, macOS",14-May-13
Middle-earth: Shadow of Mordor,Monolith,Warner Bros.,Action-adventure,"Microsoft Windows, Linux, macOS",30-Sep-14
Might & Magic X: Legacy,Limbic Entertainment,Ubisoft,"RPG, action RPG",Microsoft Windows,23-Jan-14
Might and Magic VI,New World Computing,3DO,"RPG, action RPG",Microsoft Windows,30-Apr-98
Might and Magic VII,New World Computing,3DO,"RPG, action RPG",Microsoft Windows,15-May-99
A Mind Forever Voyaging,Infocom,Infocom,Interactive fiction,"Amiga, Apple II series, Atari ST, Commodore 128, MS-DOS, macOS",14-Aug-85
Minecraft,Mojang,Mojang,Sandbox,"Microsoft Windows, Linux, macOS, Raspberry Pi",18-Nov-11
Minecraft: Story Mode,Mojang,Mojang,Graphic adventure,"Microsoft Windows, macOS",13-Oct-15
Mirror's Edge,EA Digital Illusions CE,Electronic Arts,"First-person action-adventure, platform",Microsoft Windows,12-Nov-08
Monaco: What's Yours Is Mine,Pocketwatch Games,Majesco Entertainment,"Action, stealth","Microsoft Windows, Linux, macOS",24-Apr-13
Mortal Kombat (2011),"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,19-Apr-11
Mortal Kombat X,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,13-Apr-15
Mortal Kombat 11,"NetherRealm Studios, QLOC",Warner Bros. Interactive Entertainment.,Fighting,Microsoft Windows,23-Apr-19
Mount & Blade,TaleWorlds Entertainment,Paradox Interactive,Action RPG,Microsoft Windows,16-Sep-08
Mount & Blade: Warband,TaleWorlds Entertainment,Paradox Interactive,"Action RPG, strategy","Microsoft Windows, Linux, macOS",30-Mar-10
Mount & Blade: With Fire & Sword,TaleWorlds Entertainment,Paradox Interactive,"Action RPG, strategy",Microsoft Windows,3-May-11
MouseCraft,Crunching Koalas,Crunching Koalas,Puzzle,"Microsoft Windows, Linux, macOS",9-Jun-14
MVP Baseball 2005,EA Canada,Electronic Arts,Sports,Microsoft Windows,22-Feb-05
Myst,Cyan,BrÃ¸derbund,Adventure,"Mac OS, Microsoft Windows",1994
Myth Makers: Super Kart GP,Data Design Interactive,Phoenix Games,Racing video game,Microsoft Windows,1-Jan-06
Myth Makers: Trixie in Toyland,Data Design Interactive,Metro3D Europe,Platformer,Microsoft Windows,19-Aug-05
Napoleon: Total War,"The Creative Assembly, Feral Interactive","Sega, Typhoon Games, Feral Interactive",Turn-based strategy,Microsoft Windows,23-Feb-10
Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"First-person shooter, RTS","Microsoft Windows, Linux",30-Oct-12
NBA 2K10,Visual Concepts,2K Sports,Sports,Microsoft Windows,12-Oct-09
NBA 2K11,Visual Concepts,2K Sports,Sports,Microsoft Windows,5-Oct-10
NBA 2K12,Visual Concepts,2K Sports,Sports,Microsoft Windows,4-Oct-11
NBA 2K13,Visual Concepts,2K Sports,Sports,Microsoft Windows,2-Oct-12
NBA 2K14,Visual Concepts,2K Sports,Sports,Microsoft Windows,15-Nov-13
NBA 2K15,Visual Concepts,2K Sports,Sports,Microsoft Windows,7-Oct-14
NBA 2K16,Visual Concepts,2K Sports,Sports,Microsoft Windows,29-Sep-16
NBA 2K17,Visual Concepts,2K Sports,Sports,Microsoft Windows,20-Sep-16
NBA 2K18,Visual Concepts,2K Sports,Sports,Microsoft Windows,19-Sep-17
NBA 2K9,Visual Concepts,2K Sports,Sports,Microsoft Windows,7-Oct-08
NBA Hangtime,"Midway, Funcom",Midway,Sports,Microsoft Windows,31-Dec-96
NBA Inside Drive,Microsoft Studios,Microsoft Studios,Sports,Microsoft Windows,17-Aug-00
NBA Jam Extreme,Sculptured Software,Acclaim,Sports,Microsoft Windows,31-Jan-97
NBA Live 2000,EA Canada,Electronic Arts,Sports,Microsoft Windows,31-Oct-90
NBA Live 2001,Electronic Arts,Electronic Arts,Sports,Microsoft Windows,7-Feb-01
NBA Live 2003,EA Canada,EA Sports,Sports,Microsoft Windows,8-Oct-02
NBA Live 2004,EA Canada,Electronic Arts,Sports,Microsoft Windows,15-Oct-03
NBA Live 2005,EA Canada,Electronic Arts,Sports,Microsoft Windows,28-Sep-04
NBA Live 06,EA Canada,EA Sports,Sports,Microsoft Windows,4-Oct-05
NBA Live 07,EA Canada,EA Sports,Sports,Microsoft Windows,15-Nov-06
NBA Live 99,EA Canada,EA Sports,Sports,Microsoft Windows,31-Oct-98
NBA Playgrounds,Saber Interactive,Mad Dog Games,Sports,Microsoft Windows,9-May-17
Need for Speed,Pioneer Productions,Electronic Arts,Racing,MS-DOS,31-Aug-94
Need for Speed II,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,31-Mar-97
Need for Speed III: Hot Pursuit,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,25-Mar-98
Need for Speed: High Stakes,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,8-Mar-99
Need for Speed: Hot Pursuit 2,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,2-Oct-02
Need for Speed: Porsche Unleashed,Electronic Arts,Electronic Arts,Racing,Microsoft Windows,29-Feb-00
Need for Speed: Underground,EA Black Box,Electronic Arts,Racing,Microsoft Windows,2-Oct-02
Neighbours from Hell,JoWooD Vienna,JoWooD Productions,Puzzle,Microsoft Windows,20-Jun-03
Neighbours from Hell 2: On Vacation,JoWooD Vienna,JoWooD Productions,Puzzle,Microsoft Windows,5-May-04
Nether: Resurrected,Phosphor Games Studio,"Nether Productions, LLC","Survival Horror, Open World, Action",Microsoft Windows,28-Oct-13
The Neverhood,"The Neverhood, Inc.",DreamWorks Interactive,Point-and-click adventure game,Microsoft Windows,31-Oct-96
Neverwinter Nights,BioWare,"Infogrames, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS",18-Jun-02
Neverwinter Nights 2,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS",31-Oct-06
Neverwinter Nights 2: Mask of the Betrayer,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS",9-Oct-07
Neverwinter Nights 2: Mysteries of Westgate,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS",29-Apr-09
Neverwinter Nights 2: Storm of Zehir,Obsidian Entertainment,Atari,RPG,"Microsoft Windows, macOS",18-Nov-08
Neverwinter Nights: Hordes of the Underdark,BioWare,"Atari, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS",2-Dec-03
Neverwinter Nights: Shadows of Undrentide,"BioWare, Floodgate Entertainment","Atari, MacSoft",Role-playing,"Microsoft Windows, Linux, macOS",21-Jun-03
Next Car Game: Wreckfest,Bugbear Entertainment,Bugbear Entertainment,"Racing, destruction",Microsoft Windows,14-Jun-18
Nickelodeon Party Blast,Data Design Interactive,Infogrames,Party,Microsoft Windows,30-Oct-02
Nier: Automata,PlatinumGames,Square Enix,Action role-playing,Microsoft Windows,17-Mar-17
Night in the Woods,Infinite Fall,Finji,Adventure,"Microsoft Windows, Linux, macOS",21-Feb-17
Ninjabread Man,Data Design Interactive,Metro3D Europe,Platformer,Microsoft Windows,23-Jul-05
Nioh,Team Ninja,"Koei Tecmo, Sony Interactive Entertainment",Action role-playing,Microsoft Windows,7-Nov-17
No Man's Sky,Hello Games,Hello Games,Action-adventure,Microsoft Windows,9-Aug-16
No More Room in Hell,Matt Kazan,Steam,Survival horror,"Microsoft Windows, Linux, macOS",31-Oct-13
OneShot,Liitle Cat Feet,Degica,"Adventure, Puzzle",Microsoft Windows,8-Dec-16
Operation Flashpoint: Cold War Crisis,Bohemia Interactive,Codemasters,Tactical shooter,Microsoft Windows,22-Jun-01
Operation Flashpoint: Resistance,Bohemia Interactive,Codemasters,Tactical shooter,Microsoft Windows,10-Jul-02
Orcs Must Die 2,Robot Entertainment,Robot Entertainment,"Action, Tower Defense",Microsoft Windows,30-Jul-12
Order of War,Wargaming,Square Enix,Strategy,Microsoft Windows,22-Sep-09
Ori and the Blind Forest,Moon Studios,Microsoft Studios,Platform,Microsoft Windows,11-Mar-15
Ori and the Will of the Wisps,Moon Studios,Xbox Game Studios,Platform,Microsoft Windows,11-Mar-20
osu!,Dean Herbert,PPY Developments PTY,"Rhythm, music","Microsoft Windows, macOS",16-Sep-07
Out of the Park Baseball,Sports Interactive,Sports Interactive,Sports,Microsoft Windows,26-Mar-06
Outcast,Appeal,Infogrames,"Adventure, Action",Microsoft Windows,31-Aug-99
Outlast,Red Barrels,Red Barrels,Action,"Microsoft Windows, Linux, macOS",4-Sep-13
Overgrowth,Wolfire Games,Wolfire Games,Action,"Microsoft Windows, Linux, macOS",17-Sep-08
Overwatch,Blizzard Entertainment,Blizzard Entertainment,Action,Microsoft Windows,24-May-16
Oxenfree,Night School Studio,Night School Studio,Graphic adventure,"Microsoft Windows, Linux, macOS",15-Jan-16
"Papers, Please",3909 LLC,3909 LLC,"Puzzle, simulation","Microsoft Windows, Linux, macOS",8-Aug-13
ParaWorld,SEK,Sunflowers,Real-time strategy,Microsoft Windows,15-Sep-06
Path of Exile,Grinding Gear Games,Grinding Gear Games,Action RPG,Microsoft Windows,23-Oct-13
Payday: The Heist,Overkill Software,Sony Online Entertainment,First-person shooter,Microsoft Windows,18-Oct-11
Payday 2,Overkill Software,505 Games,First-person shooter,Microsoft Windows,13-Aug-13
Penumbra: Black Plague,Frictional Games,Paradox Interactive,Survival horror,"Microsoft Windows, Linux, macOS",12-Feb-08
Penumbra: Overture,Frictional Games,Frictional Games,Survival horror,"Microsoft Windows, Linux, macOS",30-Mar-07
Penumbra: Requiem,Frictional Games,Paradox Interactive,Survival horror,"Microsoft Windows, Linux, macOS",27-Aug-08
Persona 4 Golden,Atlus,Sega,"Role-playing, social simulation",Microsoft Windows,13-Jun-20
Phantom Doctrine,CreativeForge Games,Good Shepherd Entertainment,Strategy,Windows,14-Aug-18
Pillars of Eternity,Obsidian Entertainment,Paradox Interactive,Role-playing,"Microsoft Windows, Linux, macOS",26-Mar-15
Pixel Piracy,Quadro Delta,Re-Logic,Action-adventure,"Microsoft Windows, Linux, OS X",16-Feb-16
Planetarian: The Reverie of a Little Planet,Key,"VisualArt's, KineticNovel",Visual novel,Microsoft Windows,29-Nov-04
Planetary Annihilation,Uber Entertainment,Uber Entertainment,RTS,"Microsoft Windows, Linux, macOS",5-Sep-14
PlanetSide,Sony Online Entertainment,Sony Online Entertainment,MMOFPS,Microsoft Windows,20-May-03
PlanetSide 2,Sony Online Entertainment,Sony Online Entertainment,MMOFPS,Microsoft Windows,12-Nov-12
Playboy: The Mansion,Cyberlore Studios,"Arush Entertainment, Groove Games",Business simulation game,Microsoft Windows,4-Mar-05
PlayerUnknown's Battlegrounds,"PUBG Corporation, Lightspeed & Quantum Studios (mobile)","PUBG Corporation (Windows), Microsoft Studios (Xbox One), Tencent Games (mobile)","Multiplayer online game, Battle royale game",Microsoft Windows,12-Dec-17
Pokemon Planet,Brody,Brody,MMORPG,"Microsoft Windows, OS X, Linux",2014
PokÃ©mon TCG Online,Dire Wolf Digital,The PokÃ©mon Company,Digital collectible card game,"Microsoft Windows, OS X",24-Mar-11
Police Quest: SWAT 2,Yosemite Entertainment,Sierra FX,Real-time tactics,Microsoft Windows,11-Jul-98
Pony Island,Daniel Mullins Games,Daniel Mullins Games,Indie,Microsoft Windows,4-Jan-16
Pool of Radiance,"Strategic Simulations, Inc.","Strategic Simulations, Inc., Pony Canyon (PC9800, X1)","Fantasy, RPG","MS-DOS, Amiga, Apple II, Commodore 64, PC-9800 series, X1",1988
Pools of Darkness,"Strategic Simulations, Inc., MicroMagic, Inc., Marionette (PC9800)","Strategic Simulations, Inc., Pony Canyon (PC9800)","Fantasy, RPG","Microsoft Windows, macOS, Amiga, PC-9800 series",1991
Poptropica,Jeff Kinney Group,Jeff Kinney Group,Virtual World,"Microsoft Windows, Linux, macOS",Jul-07
Portal,Valve,"Valve, Microsoft Game Studios",Puzzle-platform game,"Microsoft Windows, Linux, macOS",10-Oct-07
Portal 2,Valve,Valve,Puzzle-platform game,"Microsoft Windows, Linux, macOS",19-Apr-11
Postal,Running with Scissors,Running with Scissors,Top-down shooter,"Android, Microsoft Windows, Mac OS, OS X, Linux",14-Nov-97
Postal 2,Running with Scissors,Running with Scissors,First-person shooter,"Microsoft Windows, Linux, OS X",13-Apr-03
Postal III,Running with Scissors,Akella,Third-person shooter,Microsoft Windows,23-Nov-11
