Name,Developer,Producer,Genre,Operating System,Date Released
Star Wars: Knights of the Old Republic II â€“ The Sith Lords,Obsidian Entertainment,LucasArts,RPG,"Microsoft Windows, Linux, macOS",8-Feb-05
Star Wars: Republic Commando,"LucasArts, Magellan Interactive",THQ Wireless,"Tactical shooter, first-person shooter","Xbox, Microsoft Windows",17-Feb-05
Star Wars: The Old Republic,BioWare,"Electronic Arts, LucasArts",MMORPG,Microsoft Windows,20-Dec-11
Star Wars: TIE Fighter,Lucasarts,Lucasarts,Flight simulation,"DOS, Windows 9x, Linux, macOS",1-Jul-94
Star Wars: X-Wing,Lucasarts,Lucasarts,Flight simulation,"DOS, macOS",1-Feb-93
StarCraft,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",31-Mar-98
StarCraft: Brood War,Blizzard Entertainment Saffire,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",30-Nov-98
StarCraft II: Heart of the Swarm,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",12-Mar-13
StarCraft II: Legacy of the Void,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",10-Nov-15
StarCraft II: Wings of Liberty,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",27-Jul-10
Stardew Valley,Eric Barone,"ChuckleFish, ConcernedApe","Farming simulation, RPG","Microsoft Windows, OS X, Linux",26-Feb-16
StarDrive,Zero Sum Games,Iceberg Interactive,"4X, strategy",Microsoft Windows,26-Apr-13
Starsector,Fractal Softworks,Fractal Softworks,"4X, strategy, action RPG","Microsoft Windows, Linux, macOS",26-Apr-13
Starsiege: Tribes,Dynamix,Sierra On-Line,First-person shooter,Microsoft Windows,23-Dec-98
State of Decay,Undead Labs,Microsoft Studios,"Stealth, survival horror, RPG, third-person shooter, simulation",Microsoft Windows,5-Nov-13
Stellar Monarch,Silver Lemur Games,Silver Lemur Games,"4X, strategy",Microsoft Windows,5-Dec-16
Street Racing Syndicate',Eutechnyx,Namco,Racing,Windows,4-Oct-05
Stronghold,"Firefly Studios, MacSoft","Take 2 Interactive, God Games",RTS,"Microsoft Windows, macOS",19-Oct-01
Stronghold 2,Firefly Studios,2K Games,RTS,Microsoft Windows,18-Apr-05
Stronghold 3,Firefly Studios,7Sixty Games,RTS,"Microsoft Windows, Linux, macOS",25-Oct-11
Stronghold: Crusader,Firefly Studios,"Take 2 Interactive, God Games",RTS,Microsoft Windows,31-Jul-02
